Training Log for rl_finetuned
==================================================
Epoch 205 | Loss: 0.17 | Avg Makespan: 84.5 | Best: 79.0 | Baseline: 105.5 | LR: 9.743104e-06
Epoch 206 | Loss: 0.99 | Avg Makespan: 77.2 | Best: 71.0 | Baseline: 104.8 | LR: 9.740626e-06
Epoch 207 | Loss: 0.19 | Avg Makespan: 85.2 | Best: 84.0 | Baseline: 104.7 | LR: 9.738137e-06
Epoch 208 | Loss: 0.13 | Avg Makespan: 86.0 | Best: 82.0 | Baseline: 104.5 | LR: 9.735635e-06
Epoch 209 | Loss: 0.40 | Avg Makespan: 83.5 | Best: 82.0 | Baseline: 104.3 | LR: 9.733123e-06
Epoch 210 | Loss: 0.18 | Avg Makespan: 77.5 | Best: 71.0 | Baseline: 104.3 | LR: 9.730598e-06
Epoch 211 | Loss: -0.49 | Avg Makespan: 82.5 | Best: 76.0 | Baseline: 104.8 | LR: 9.728062e-06
Epoch 212 | Loss: -0.08 | Avg Makespan: 79.5 | Best: 76.0 | Baseline: 104.9 | LR: 9.725515e-06
Epoch 213 | Loss: 0.88 | Avg Makespan: 78.0 | Best: 74.0 | Baseline: 104.3 | LR: 9.722956e-06
Epoch 214 | Loss: 0.07 | Avg Makespan: 81.0 | Best: 76.0 | Baseline: 104.3 | LR: 9.720385e-06
Epoch 215 | Loss: 0.00 | Avg Makespan: 84.5 | Best: 83.0 | Baseline: 104.4 | LR: 9.717803e-06
Epoch 216 | Loss: -0.01 | Avg Makespan: 82.2 | Best: 82.0 | Baseline: 104.5 | LR: 9.715210e-06
