Epoch,Total_Loss,Link_Loss,Prio_Loss
556,0.22680,0.20764,0.01917
557,0.22501,0.20592,0.01909
558,0.22706,0.20776,0.01929
559,0.22461,0.20535,0.01925
560,0.22925,0.20988,0.01938
561,0.22538,0.20621,0.01917
562,0.22886,0.20970,0.01916
563,0.22432,0.20526,0.01907
564,0.22748,0.20823,0.01925
565,0.22773,0.20863,0.01910
566,0.22577,0.20658,0.01919
567,0.22695,0.20777,0.01918
568,0.22749,0.20834,0.01915
569,0.22529,0.20608,0.01921
570,0.22713,0.20796,0.01918
571,0.22240,0.20319,0.01921
572,0.22912,0.20994,0.01918
573,0.22746,0.20822,0.01924
574,0.22500,0.20583,0.01917
575,0.22405,0.20496,0.01908
576,0.22514,0.20602,0.01913
577,0.22979,0.21052,0.01927
578,0.22373,0.20446,0.01927
579,0.22603,0.20697,0.01906
580,0.22523,0.20613,0.01910
581,0.22454,0.20537,0.01918
582,0.22476,0.20564,0.01912
583,0.22704,0.20787,0.01917
584,0.22510,0.20601,0.01909
585,0.22707,0.20782,0.01924
586,0.22614,0.20677,0.01937
587,0.22252,0.20316,0.01936
588,0.22297,0.20391,0.01906
589,0.22307,0.20390,0.01917
590,0.22486,0.20563,0.01923
591,0.22395,0.20486,0.01909
592,0.22584,0.20664,0.01920
593,0.22294,0.20388,0.01905
594,0.22218,0.20304,0.01913
595,0.22310,0.20407,0.01903
596,0.22376,0.20473,0.01903
597,0.22819,0.20893,0.01926
598,0.22347,0.20435,0.01912
599,0.22767,0.20846,0.01922
600,0.22474,0.20544,0.01929
601,0.22326,0.20408,0.01919
602,0.22270,0.20354,0.01916
603,0.22848,0.20915,0.01933
604,0.22365,0.20443,0.01922
605,0.22299,0.20380,0.01919
606,0.22264,0.20339,0.01925
607,0.22159,0.20256,0.01903
608,0.22538,0.20624,0.01915
609,0.22448,0.20523,0.01925
610,0.22192,0.20284,0.01908
611,0.22318,0.20403,0.01915
612,0.22613,0.20689,0.01923
613,0.22158,0.20257,0.01901
614,0.22569,0.20642,0.01927
615,0.22540,0.20619,0.01921
616,0.22374,0.20459,0.01915
617,0.21998,0.20096,0.01902
618,0.22026,0.20109,0.01917
619,0.22294,0.20387,0.01907
620,0.22009,0.20104,0.01905
621,0.22121,0.20218,0.01902
622,0.22244,0.20331,0.01914
623,0.22336,0.20418,0.01918
624,0.22112,0.20206,0.01906
625,0.22024,0.20117,0.01907
626,0.22005,0.20097,0.01908
627,0.22005,0.20098,0.01907
628,0.22344,0.20415,0.01929
629,0.21888,0.19980,0.01908
630,0.21524,0.19620,0.01904
631,0.21733,0.19825,0.01909
