Epoch,Total_Loss,Link_Loss,Prio_Loss
760,0.24085,0.21962,0.02123
761,0.23844,0.21710,0.02134
762,0.23809,0.21673,0.02136
763,0.23538,0.21415,0.02124
764,0.23456,0.21312,0.02143
765,0.23833,0.21701,0.02131
766,0.23256,0.21121,0.02135
767,0.23378,0.21230,0.02148
768,0.23156,0.21030,0.02126
769,0.22957,0.20830,0.02127
770,0.23066,0.20882,0.02185
771,0.22999,0.20881,0.02117
772,0.23060,0.20930,0.02130
773,0.23525,0.21387,0.02138
774,0.22708,0.20574,0.02134
775,0.22849,0.20716,0.02133
776,0.22942,0.20803,0.02139
777,0.22715,0.20593,0.02122
778,0.23005,0.20875,0.02130
779,0.22720,0.20595,0.02125
780,0.22472,0.20348,0.02124
781,0.22755,0.20622,0.02133
782,0.22338,0.20219,0.02120
783,0.22735,0.20612,0.02124
784,0.22369,0.20210,0.02159
785,0.22306,0.20182,0.02124
786,0.21786,0.19665,0.02121
787,0.22105,0.19971,0.02134
788,0.22283,0.20160,0.02123
789,0.22255,0.20126,0.02129
790,0.21874,0.19747,0.02127
791,0.21389,0.19227,0.02162
792,0.21481,0.19348,0.02133
793,0.22154,0.20029,0.02125
794,0.21879,0.19751,0.02128
795,0.21587,0.19459,0.02127
796,0.21382,0.19254,0.02128
797,0.21381,0.19230,0.02151
798,0.20790,0.18661,0.02129
799,0.21096,0.18953,0.02143
800,0.20967,0.18849,0.02118
801,0.20949,0.18839,0.02110
802,0.21475,0.19338,0.02137
803,0.20704,0.18576,0.02128
804,0.21013,0.18895,0.02119
805,0.20649,0.18518,0.02131
806,0.20740,0.18618,0.02122
807,0.20248,0.18115,0.02133
808,0.20400,0.18287,0.02112
809,0.20153,0.18023,0.02131
810,0.20589,0.18467,0.02122
811,0.20194,0.18064,0.02130
812,0.20913,0.18794,0.02118
